"object_category_Id";"ID";"Name";"AdmArea";"District";"Address";"Longitude_WGS84";"Latitude_WGS84";"global_id";"geodata_center";"geoarea";
"object_category_Id";"Код";"Наименование";"Административный округ";"Район";"Адрес";"Долгота в WGS-84";"Широта в WGS-84";"global_id";"geodata_center";"geoarea";
"";"516";"Станция №283, 22 кВт";"Юго-Западный административный округ";"район Северное Бутово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, улица Грина, дом 24";"37.572033";"55.567236";"2566641755";"";"";
"";"547";"Станция №284, 22 кВт";"Юго-Западный административный округ";"район Южное Бутово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, Скобелевская улица, дом 20";"37.555804";"55.546776";"2566641756";"";"";
"";"491";"Станция №285, 22 кВт";"Северо-Западный административный округ";"район Куркино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Куркино, Родионовская улица, дом 8";"37.39633";"55.89388";"2566641757";"";"";
"";"457";"Станция №286, 22 кВт";"Западный административный округ";"район Кунцево";"город Москва, Ярцевская улица, дом 27, корпус 8, строение 1";"37.41284";"55.74314";"2566641758";"";"";
"";"517";"Станция №287, 22 кВт";"Северо-Западный административный округ";"район Северное Тушино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Тушино, улица Вилиса Лациса, дом 27, корпус 2";"37.416582";"55.860803";"2566641759";"";"";
"";"570";"Станция №288, 22 кВт";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, 1-й Очаковский переулок, дом 10";"37.46028";"55.68438";"2566641760";"";"";
"";"518";"Станция №289, 22 кВт";"Северо-Западный административный округ";"район Куркино";"город Москва, улица Соловьиная Роща, дом 8, корпус 1";"37.399049";"55.891935";"2566668082";"";"";
"";"571";"Станция №290, 22 кВт";"Северо-Западный административный округ";"район Куркино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Куркино, Воротынская улица, дом 18";"37.388017";"55.889497";"2566668084";"";"";
"";"527";"Станция №291, 22 кВт";"Северо-Западный административный округ";"район Куркино";"город Москва, Соколово-Мещерская улица, дом 29, строение 2";"37.385353";"55.905454";"2566668085";"";"";
"";"454";"Станция №292, 50 кВт";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Последний переулок, дом 3";"37.62605";"55.76978";"2566668086";"";"";
"";"448";"Станция №293, 50 кВт";"Центральный административный округ";"Тверской район";"город Москва, поселение Роговское, деревня Богородское, Лесная улица, дом 60";"37.594019";"55.782309";"2566668087";"";"";
"";"548";"Станция №294, 22 кВт";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Слесарный переулок, дом 3";"37.6369";"55.78413";"2566668088";"";"";
"";"430";"Станция №295, 50 кВт";"Центральный административный округ";"Таганский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Большой Дровяной переулок, дом 18";"37.658371";"55.74566";"2566668089";"";"";
